gradient,trait_pre,st,term,statistic,trait_type,trait,trait_abr,trait_pre2,ii,chisq_perm2
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.21249710693849969,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,2.6351136002608135,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,3.182291527180996,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,1.5759927669202323,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,1.9132523563023773,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,1.0785532180265276,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.042360290303437687,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.9126599151283968,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,1.3356473761806829,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,1.1155703658470437,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.003966393460552026,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.007017323889163392,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.02820354518943251,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.011917503500778862,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,2.3796514635206862,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.38553713247872895,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.7983014550077595,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,2.7432003631143567,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.001024588144246344,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.38126727149069645,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.2141521736958578,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.6577740830119213,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.2806201092822605,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.006856323887971408,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,4.880784101439142,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
