genome_id,gene,value
g4,group_5683,1
g4,group_5681,1
g4,bacC_1~~~bacC_2,1
g4,group_5678,1
g4,ecfG_1~~~sigR_2~~~sigR_1,1
g4,group_5675,1
g4,fliF,1
g4,rplJ,1
g4,ydaP~~~ydaP_2,1
g4,prpB,1
g4,group_5673,1
g4,malL_1~~~malL_2,1
g4,rlmE,1
g4,group_5672,1
g4,mgtE,1
g4,ssuC_5~~~ssuC_3,1
g4,group_5671,1
g4,group_5670,1
g4,murJ,1
g4,cbbX_1~~~cbbX_2~~~cbbX,1
g4,cbbL_1~~~cbbL_2~~~cbbL,1
g4,group_5668,1
g4,group_5667,1
g4,gcvT_1,1
g4,sthA_2~~~sthA_1~~~sthA,1
g4,group_5666,1
g4,group_5664,1
g4,ltxD~~~hlyD,1
g4,atpD_2~~~atpD_1~~~atpD,1
g4,sppA,1
g4,patZ~~~pat~~~pat_1,1
g4,aroH,1
g4,pntAA,1
g4,group_5661,1
g4,group_5658,1
g4,gloC,1
g4,group_5657,1
g4,purC,1
g4,mrpA~~~ndhB_2~~~ndhB_3,1
g4,mrpC,1
g4,group_5656,1
g4,aruI_4~~~aruI_5~~~aruI_1,1
g4,ligE,1
g4,dinG_1~~~dinG_2,1
g4,hisS~~~hisZ,1
g4,group_5654,1
g4,msrQ~~~msrP_1~~~msrP_4,1
g4,nit1,1
g4,nusG_2~~~nusG_3,1
g4,group_5652,1
g4,group_5651,1
g4,group_5648,1
g4,rbsC_18~~~rbsC_24,1
g4,group_5647,1
g4,group_5646,1
g4,rep~~~pcrA_2,1
g4,group_5644,1
g4,group_5643,1
g4,ycdF~~~hcaB_2,1
g4,cobA_2~~~cobA~~~cobA_1,1
g4,group_5639,1
g4,group_5638,1
g4,group_5637,1
g4,yibF,1
g4,rlmJ,1
g4,ligD_3~~~lig_2~~~ligD_1,1
g4,kup_5~~~kup_3,1
g4,group_5632,1
g4,group_5630,1
g4,msrP_2,1
g4,group_5629,1
g4,trmFO,1
g4,group_5628,1
g4,gntK,1
g4,kdsD_2,1
g4,group_5626,1
g4,group_5625,1
g4,group_5624,1
g4,lysDH,1
g4,bpt,1
g4,group_5623,1
g4,group_5622,1
g4,ucpA_1~~~ucpA_2,1
g4,group_5621,1
g4,group_5620,1
g4,group_5619,1
g4,group_5618,1
g4,yiaO,1
g4,group_5617,1
g4,group_5616,1
g4,pyrG_1~~~pyrG_2~~~pyrG,1
g4,group_5615,1
g4,group_5613,1
g4,group_5612,1
g4,livH_3,1
g4,sspA_1,1
g4,group_5610,1
g4,group_5608,1
g4,group_5606,1
g4,lcfB_2~~~lcfB_1~~~menE_1~~~menE_3,1
g4,group_5605,1
g4,sasA_8~~~sasA_4~~~sasA_5~~~sasA_11,1
g4,group_5604,1
g4,ygeX,1
g4,oxyR_1,1
g4,group_5603,1
g4,group_5602,1
g4,group_5600,1
g4,mak,1
g4,novN,1
g4,ptsJ_1,1
g4,moeA,1
g4,rcsC_4~~~rcsC_13,1
g4,group_5598,1
g4,ispDF,1
g4,cinA,1
g4,nifD_1~~~nifD_2,1
g4,otsB,1
g4,acxB,1
g4,group_5596,1
g4,ygfF,1
g4,paaZ_2~~~paaZ_1,1
g4,group_5595,1
g4,group_5594,1
g4,zntR,1
g4,potE_1~~~adiC,1
g4,uao,1
g4,ybaK,1
g4,nqo1_1~~~nuoF,1
g4,group_5593,1
g4,tspO,1
g4,group_5591,1
g4,group_5590,1
g4,fabB_2~~~fabB_1~~~fabB,1
g4,group_5589,1
g4,group_5588,1
g4,nadC,1
g4,esiB,1
g4,group_5584,1
g4,group_5583,1
g4,moxF,1
g4,dapb1_1~~~dapb1_2~~~dapb1,1
g4,nagK_1~~~ycgM,1
g4,group_5582,1
g4,group_5581,1
g4,group_5580,1
g4,group_5579,1
g4,group_5578,1
g4,nemR,1
g4,ugpC_13~~~msmX_6~~~ugpC_14,1
g4,group_5577,1
g4,group_5576,1
g4,ispE_2~~~ispE_1~~~ispE,1
g4,group_5575,1
g4,garB_1~~~gor~~~garB,1
g4,hppA_2~~~hppA_1~~~hppA,1
g4,group_5574,1
g4,group_5572,1
g4,group_5571,1
g4,leuC1~~~leuC,1
g4,ybhL,1
g4,bshA_2~~~bshA_1,1
g4,argD_2~~~argD_1,1
g4,eryD_3~~~lsrR_1,1
g4,recD2_2~~~recD2_1,1
g4,group_5566,1
g4,rpoH_1~~~rpoH_3~~~rpoH_2,1
g4,fdxA,1
g4,rplR,1
g4,kdpB_3~~~kdpB_2,1
g4,group_5563,1
g4,xynB,1
g4,group_5562,1
g4,group_5561,1
g4,hdfR_7~~~hdfR_8,1
g4,dnaQ,1
g4,group_5556,1
g4,leuA,1
g4,group_5555,1
g4,group_5554,1
g4,group_5553,1
g4,sbp_1~~~sbp_2,1
g4,group_5552,1
g4,group_5549,1
g4,pgk,1
g4,nodD2_3~~~nodD2_4~~~nodD2_2,1
g4,nrtA~~~nrtC,1
g4,group_5548,1
g4,nth,1
g4,group_5547,1
g4,ywlC,1
g4,group_5546,1
g4,cgtA~~~proB,1
g4,tgnD_2~~~tgnD_3~~~tgnD_1,1
g4,gcvT_1~~~gcvT_4,1
g4,cntB,1
g4,group_5540,1
g4,dnaA_1,1
g4,group_5539,1
g4,mdtN,1
