gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
group_2576-group_2479-group_3650,1,1,0,1,1,0,0,1,1,1
group_2479-group_3650-group_6416,1,1,0,1,1,0,0,1,1,1
group_3900-cah_1-pel_1~~~pel,1,1,0,1,1,0,1,1,1,1
group_3986-cah_1-pel_1~~~pel,0,0,1,0,0,1,0,0,0,0
cah_1-group_3900-aldHT_2,1,1,0,1,1,0,0,1,1,1
group_3900-aldHT_2-group_1081,1,1,0,1,1,0,0,1,1,1
group_1081-aldHT_2-group_3986,0,0,1,0,0,1,1,0,0,0
group_1081-virD4-group_2490,0,0,1,0,0,1,1,0,0,0
group_1081-virD4-group_5502,1,1,0,1,1,0,0,1,1,1
group_4765-group_754-group_5291,1,1,0,1,0,0,0,1,0,0
group_5291-group_754-group_6016,0,0,1,0,0,1,1,0,0,0
group_5291-virB9_1-virB8_1~~~virB8_3~~~virB8_2,1,1,1,1,0,1,1,1,1,1
virB4_1-virB3_1-virB2,0,1,1,1,1,0,0,1,0,1
virB4_1-virB3_1-group_5704,1,0,0,0,0,0,1,0,1,0
group_3259-group_4052-group_6038,1,1,0,1,0,0,0,0,1,1
group_3259-group_4052-group_6033,0,0,0,0,1,0,0,1,0,0
group_4052-group_3259-nodM_1,1,1,0,1,1,0,0,1,1,1
nodM_1-group_3259-group_6033,0,0,1,0,0,1,1,0,0,0
group_4383-group_2528-group_4785,1,1,1,1,1,1,1,1,1,0
group_2528-group_4383-nodD2_3,1,1,1,1,1,1,1,1,1,0
group_4383-nodD2_3-group_6586,1,1,1,1,1,1,0,1,1,1
group_5857-group_3834-group_6586,1,1,0,1,1,0,0,1,1,1
group_3629-group_2779-group_5857,1,1,1,1,1,1,0,1,1,1
fdxB-group_4164-group_4436,1,1,1,0,1,1,1,1,1,0
fdxB-group_4164-group_5960,0,0,0,1,0,0,0,0,0,1
group_4317-group_3902-nifB~~~moaA_2,1,1,1,1,1,1,1,0,0,1
nifB~~~moaA_2-group_3902-group_5786,0,0,0,0,0,0,0,1,1,0
group_3902-group_4317-group_4984,0,0,0,0,1,1,1,0,0,1
group_3902-group_4317-group_6251,1,1,0,1,0,0,0,0,0,0
group_4640-group_3684-group_6251,1,1,0,0,0,0,0,0,0,0
group_6030-group_3684-group_6251,0,0,0,1,1,0,0,1,1,0
group_5016-group_2893-group_5126,0,0,0,0,0,0,0,1,1,0
group_5126-group_2893-group_6030,1,1,1,1,1,0,1,0,0,1
potA_4-davD_1-group_5126,1,1,1,1,1,1,1,1,1,0
group_4318-rspR_5-group_6014,1,1,0,0,1,1,1,1,1,1
group_3853-maa-group_5571,1,1,1,1,1,1,1,1,0,1
group_1748-fixP_2-group_213,0,0,0,1,1,0,1,0,0,0
group_1748-fixP_2-group_5571,1,1,1,0,0,1,0,0,1,1
fixP_2-group_1748-group_4683,1,1,1,1,0,1,1,0,1,1
fixT_2-fixK_1-group_5516,1,1,0,0,0,1,1,1,0,1
group_2600-fixK_1-group_5516,0,0,1,1,1,0,0,0,1,0
fixT_2-group_2600-group_2562,1,1,0,0,0,1,1,1,0,1
group_2562-group_2600-fixK_1,0,0,1,1,1,0,0,0,1,0
group_2600-group_2562-group_3979,1,1,1,1,0,1,1,1,1,1
group_3979-fixJ-fixL_1,1,1,1,1,0,1,1,1,1,1
ctaE_1-group_4268-group_2684,1,1,0,0,1,1,1,1,1,1
ctaE_1-group_4268-group_5053,0,0,1,1,0,0,0,0,0,0
group_4749-group_2708-iorA_1~~~iorA_2,1,1,0,0,0,0,0,0,0,0
group_2264-arsH-acr3,1,1,0,1,1,0,0,1,1,0
acr3-arsH-group_1084,0,0,1,0,0,1,1,0,0,0
group_844-group_929-cheB_5~~~cheB1,1,1,1,1,0,1,1,1,1,1
group_392-group_2156-group_5591,1,1,1,1,0,1,1,1,1,1
apr-group_3009-cbpA_1~~~cbpA_2~~~dnaJ_3~~~dnaJ_1,1,1,1,1,1,1,0,1,1,1
group_1275-lfrA-group_2950,1,1,1,1,1,1,1,0,0,1
group_1275-lfrA-group_4656,0,0,0,0,0,0,0,1,1,0
lfrA-group_2950-group_2440,1,1,1,1,1,1,1,0,0,1
group_2440-group_2950-group_5827,0,0,0,0,0,0,0,1,1,0
group_1424-group_2048-group_3340,1,1,1,1,1,1,0,1,1,1
group_2048-group_3340-group_3225,1,1,1,1,1,1,0,1,1,1
group_1280-group_296-group_3380,1,1,1,0,1,1,1,1,1,1
group_2426-group_894-group_3176,1,1,1,0,1,1,1,1,1,1
group_3176-group_1890-group_2166,1,1,1,0,1,1,1,1,1,1
group_966-gcvA_5-group_4790,1,1,0,0,0,0,0,0,0,0
group_966-gcvA_5-nanT_1,0,0,1,1,1,1,1,1,1,1
group_4407-group_3411-group_2780,1,1,1,1,1,1,0,1,1,1
group_3411-group_2780-group_5673,1,1,1,1,1,1,0,1,1,1
group_3381-melR_2-iolG_4,1,1,0,1,1,1,1,1,1,0
iolG_4-melR_2-group_5673,0,0,1,0,0,0,0,0,0,1
group_974-gnl-group_5370,1,1,1,1,1,1,1,1,1,0
livH_2-livF_3-lptB_2~~~lptB_3,1,0,1,0,0,0,0,1,1,1
livH_2-livF_3-livK,0,1,0,1,1,1,1,0,0,0
rutB_2-livK-lptB_2~~~lptB_3,1,0,1,0,0,0,0,1,1,1
rutB_2-livK-livF_3,0,1,0,1,1,1,1,0,0,0
rutB_2-group_1245-group_2854,0,0,0,1,1,1,0,0,0,0
rutB_2-group_1245-murR,1,1,1,0,0,0,1,1,1,1
group_1562-group_4111-group_4420,1,1,1,1,1,1,1,0,0,0
group_1562-group_4111-dinB_1,0,0,0,0,0,0,0,1,1,1
kdpB_3~~~kdpB_2-kdpC-kdpD~~~sasA_1,1,1,0,1,1,1,1,1,1,1
ampR-group_4320-group_6274,1,1,1,1,1,1,1,1,1,0
group_6498-group_3651-hdfR_3~~~hdfR_2,1,1,0,0,1,0,0,0,0,0
group_3789-group_3177-group_5371,1,1,0,1,0,0,0,0,1,1
group_5371-group_3177-group_6228,0,0,0,0,0,1,1,0,0,0
group_5882-group_3177-group_6228,0,0,1,0,1,0,0,0,0,0
group_2505-cspA_4-group_6253,1,1,0,1,1,0,0,1,1,1
group_2505-cspA_4-group_6338,0,0,1,0,0,1,1,0,0,0
group_2265-group_2991-group_2695,1,1,1,1,1,1,1,0,0,1
group_2265-group_2991-group_6209,0,0,0,0,0,0,0,1,1,0
group_4627-group_3533-group_6209,1,1,0,1,1,0,0,1,1,0
group_5980-group_3533-group_6209,0,0,1,0,0,1,1,0,0,0
group_4627-group_4031-group_5980,1,1,0,1,1,0,0,1,1,0
cpdA_2-group_3534-group_5749,1,1,0,1,0,0,0,0,0,0
group_5749-group_3534-group_5750,0,0,1,0,0,1,1,0,0,0
group_5749-group_3534-group_6611,0,0,0,0,0,0,0,1,1,0
group_265-group_270-group_4395,1,1,0,1,0,0,0,0,0,0
group_4395-group_4095-dmlR_15,1,1,0,1,0,0,0,0,0,0
group_3304-oppD_4-oppD_7~~~oppF_3~~~oppF_2,1,1,0,1,0,0,0,1,1,0
gatA_2-group_3155-group_3011,1,1,0,1,1,0,0,1,1,0
group_3011-group_4364-group_381,1,1,0,1,1,0,0,1,1,0
group_4651-malK_5-lacG_2,0,0,0,0,0,0,0,1,1,0
lacG_2-malK_5-group_5977,0,0,1,0,0,1,1,0,0,0
lacG_2-malK_5-gci_3~~~gci_4~~~dgoD_1,1,1,0,1,0,0,0,0,0,1
rutC_2-group_282-group_5446,1,1,0,1,0,1,1,1,1,1
group_733-group_1000-group_6136,1,1,1,0,0,1,1,1,1,1
group_733-group_908-group_2296,1,0,1,0,0,1,1,1,1,1
group_2296-group_253-group_6084,1,0,1,0,0,1,1,1,1,1
group_3685-ddpA_1-ddpB~~~dppB_7,1,1,0,0,0,0,0,1,0,0
group_3792-group_3753-acuI_2~~~acuI_1~~~acuI,0,0,0,0,0,0,0,1,1,0
group_3753-group_3792-group_2951,1,1,0,0,0,0,0,1,1,0
group_3753-group_3792-group_2960,0,0,0,1,1,0,0,0,0,0
group_2951-group_2960-group_3382,1,1,0,0,0,0,0,1,1,0
group_3382-group_2960-group_3792,0,0,0,1,1,0,0,0,0,0
group_1148-ssuA-group_4490,1,0,0,0,0,0,0,1,0,0
group_1148-ssuA-hsrA_1~~~hsrA_2,0,1,0,0,1,0,0,0,1,0
group_3652-group_4138-group_4112,1,1,0,1,1,0,0,1,1,0
fitB_1-group_3604-group_3515,1,1,0,1,1,0,0,1,1,0
group_3604-group_3515-group_5745,1,1,0,1,1,0,0,1,1,0
group_4437-group_2480-group_5745,1,1,0,1,1,0,0,0,0,0
group_3324-group_2480-group_5745,0,0,0,0,0,0,0,1,1,0
group_4437-group_3324-ybaQ,1,1,0,1,1,0,0,0,0,0
ybaQ-group_3324-group_2480,0,0,0,0,0,0,0,1,1,0
group_3324-ybaQ-rutB_3,1,1,0,1,1,0,0,1,1,0
fixL_2~~~sasA_12~~~sasA_11-tmoT_3-sasA_11~~~sasA_6,1,1,0,1,1,0,0,0,1,0
group_651-group_1675-pgrR_8,1,1,0,0,0,0,0,0,0,0
pgrR_8-group_1675-fixL_2~~~sasA_12~~~sasA_11,0,0,0,1,1,0,0,1,1,0
group_1675-pgrR_8-group_3328,0,1,0,0,0,0,0,1,1,0
group_1675-pgrR_8-polS_2~~~baiA,1,0,0,1,1,0,0,0,0,0
group_4286-group_1631-group_403,1,0,0,0,1,0,0,0,1,0
group_403-group_1631-polS_2~~~baiA,0,1,0,0,0,0,0,1,0,0
glxR_3-ttuD_2-group_2833,1,1,0,0,1,0,0,1,1,0
