gene,sequence_length
group_1988,483
group_199,1518
group_1996,480
group_1997,480
group_1998,480
group_1999,480
group_20,2913
group_2010,477
group_2011,477
group_2012,477
group_2013,477
group_202,1515
group_2020,474
group_2021,474
group_2023,474
group_2024,474
group_2025,474
group_2026,474
group_2027,474
group_2034,471
group_2035,471
group_2036,471
group_2044,468
group_2045,468
group_2046,468
group_2047,468
group_2048,468
group_2049,468
group_205,1506
group_2056,465
group_2057,465
group_2059,465
group_206,1506
group_2060,465
group_2061,465
group_2067,462
group_2068,462
group_2069,462
group_207,1506
group_2070,462
group_2071,462
group_2072,462
group_2073,462
group_2074,462
group_2087,459
group_2093,456
group_2094,456
group_2095,456
group_2096,456
group_2097,456
group_2098,456
group_2101,456
group_2113,453
group_2114,453
group_2116,453
group_2129,450
group_2137,447
group_2138,447
group_2139,447
group_214,1491
group_2140,447
group_2141,447
group_2142,447
group_2143,447
group_2144,447
group_2145,447
group_2158,444
group_2159,444
group_2161,444
group_2162,444
group_2163,444
group_2164,444
group_217,1485
group_2176,441
group_2177,441
group_2178,441
group_2179,441
group_2180,441
group_2181,441
group_2182,441
group_2183,441
group_2188,438
group_2189,438
group_219,1482
group_2190,438
group_2191,438
group_2192,438
group_22,2880
group_2200,435
group_2201,435
group_2202,435
group_2203,435
group_2204,435
group_2205,435
group_2208,432
group_2209,432
group_2210,432
group_2211,432
group_2222,429
group_2223,429
group_2224,429
group_223,1473
group_2234,426
group_2235,426
group_2236,426
group_2238,426
group_2239,426
group_2248,423
group_2249,423
group_225,1464
group_2250,423
group_2251,423
group_2252,423
group_2255,423
group_2262,420
group_2263,420
group_2264,420
group_2265,420
group_2266,420
group_2269,417
group_2271,417
group_2272,417
group_2279,414
group_228,1443
group_2280,414
group_2281,414
group_2282,414
group_2283,414
group_2289,411
group_229,1443
group_2290,411
group_2291,411
group_2292,411
group_2293,411
group_2294,411
group_2295,411
group_2302,408
group_2303,408
group_2304,408
group_2312,405
group_2313,405
group_2314,405
group_2315,405
group_2318,405
group_2319,405
group_232,1440
group_2320,405
group_2330,402
group_2331,402
group_2332,402
group_2333,402
group_234,1440
group_2340,399
group_2341,399
group_2343,399
group_2344,399
group_235,1437
group_2354,396
group_2355,396
group_2356,396
group_2357,396
group_2358,396
group_2368,393
group_2374,390
group_2375,390
group_2376,390
group_2377,390
group_2378,390
group_238,1425
group_2387,387
group_2389,387
group_2390,387
group_2391,387
group_2392,387
group_2393,387
group_2394,387
group_2395,387
group_2396,387
group_2397,387
group_24,2841
group_2406,384
group_2407,384
group_2408,384
group_2409,384
group_241,1419
group_2423,381
group_2424,381
group_2425,381
group_2426,381
group_2427,381
group_2428,381
group_243,1419
group_2430,381
group_2439,378
group_2440,378
group_2441,378
group_2443,378
group_2444,378
group_2445,378
group_245,1416
group_2459,375
group_246,1413
group_2461,375
group_2462,375
group_2463,375
group_247,1413
group_2470,372
group_2471,372
group_2472,372
group_2490,369
group_2493,369
group_2495,369
group_2496,369
group_2497,369
group_2498,369
group_25,2658
group_250,1410
group_2509,366
group_2510,366
group_2527,363
group_2528,363
group_2529,363
group_2530,363
group_254,1407
group_2541,360
group_2542,360
group_2543,360
group_2547,360
group_2548,360
group_255,1407
group_2559,357
group_2560,357
group_2561,357
group_2567,354
group_2568,354
group_2569,354
group_2571,354
group_2572,354
group_2574,354
group_258,1404
group_2587,351
group_2588,351
group_2589,351
group_259,1401
group_2598,348
group_2599,348
group_26,2646
group_260,1401
group_2600,348
group_2603,348
group_2611,345
group_2612,345
group_2613,345
group_2614,345
group_262,1398
group_2624,342
group_2626,342
group_2627,342
group_2628,342
group_2633,339
group_2634,339
group_2635,339
group_2637,339
group_2638,339
group_264,1386
group_2648,336
group_2649,336
group_265,1386
group_2650,336
group_2651,336
group_2652,336
group_266,1386
group_2665,333
group_2666,333
group_2667,333
group_267,1383
group_2677,330
group_2678,330
group_2679,330
group_2680,330
group_2694,327
group_2695,327
group_27,2631
group_270,1371
group_2706,324
group_2707,324
group_2708,324
group_271,1371
group_2721,321
group_2722,321
group_2723,321
group_2724,321
group_2735,318
group_2736,318
group_2738,318
group_2739,318
group_2747,315
group_2749,315
group_275,1362
group_2750,315
group_2765,312
group_2766,312
group_2767,312
group_2777,309
group_2778,309
group_2779,309
group_2789,306
group_279,1359
group_2791,306
group_2792,306
group_2793,306
group_2794,306
group_2795,306
group_2796,306
group_2797,306
group_2808,303
group_2809,303
group_2810,303
group_2811,303
group_2824,300
group_2826,300
group_283,1356
group_2841,297
group_2842,297
group_2843,297
group_2858,294
group_2859,294
group_286,1350
group_2860,294
group_2861,294
group_2862,294
group_287,1350
group_2871,291
group_2873,291
group_2874,291
group_2876,291
group_2880,291
group_2899,288
group_29,2619
group_2900,288
group_2902,288
group_291,1338
group_2912,285
group_2914,285
group_2916,285
group_2917,285
group_2933,282
group_2934,282
group_2935,282
group_2936,282
group_2937,282
group_2938,282
group_2939,282
group_294,1335
group_295,1332
group_2952,279
group_296,1329
group_2965,276
group_2966,276
group_2967,276
group_2969,276
group_2970,276
group_2972,276
group_2973,276
group_2985,273
group_2986,273
group_2987,273
group_2998,270
group_2999,270
group_3000,270
group_3001,270
group_3002,270
group_3003,270
group_3004,270
group_3005,270
group_301,1323
group_3017,267
group_3018,267
group_3019,267
group_3020,267
group_3021,267
group_3033,264
group_3035,264
group_3036,264
group_3037,264
group_3038,264
group_3039,264
group_305,1317
group_3053,261
group_3054,261
group_3055,261
group_3057,261
group_3058,261
group_3059,261
group_306,1317
group_3081,258
group_3082,258
group_3083,258
group_3084,258
group_3085,258
group_3086,258
group_309,1314
group_310,1314
group_3101,255
group_3102,255
group_3103,255
group_3104,255
group_3105,255
group_3106,255
group_3107,255
group_3108,255
group_312,1311
group_3127,252
group_3128,252
group_3129,252
group_3130,252
group_3131,252
group_3132,252
group_3133,252
group_3134,252
group_3135,252
group_3151,249
group_3152,249
group_3154,249
group_3155,249
group_317,1305
group_3170,246
group_3171,246
group_3172,246
group_3177,246
group_318,1302
group_3188,243
group_3189,243
group_3191,243
group_3192,243
group_3194,243
group_32,2526
group_3200,243
group_3208,240
group_3209,240
group_321,1299
group_3210,240
group_3211,240
group_3212,240
group_3213,240
group_322,1296
group_323,1293
group_3232,237
group_3233,237
group_3235,237
group_3236,237
group_324,1293
group_325,1293
group_3250,234
group_3252,234
group_3253,234
group_3255,234
group_3256,234
group_3258,234
group_327,1290
group_3270,231
group_3279,228
group_328,1290
group_3280,228
group_3284,228
group_3296,225
