temperature,well,exp_id,r,t.r,lag,maxOD,startOD
35c,F07,pms-3,1.0233693380719353,12.25,11.534671058017832,0.31454187213491164,-0.03228125
35c,G07,ppf-1,0.9782295521831973,14.166666666666666,13.481504286051416,0.29416255103706995,-0.03228125
35c,H07,40th-1,1.2666325433262997,13.833333333333334,13.19066390646335,0.290929935223094,-0.034
35c,A08,gp1-3,0.19090589924355555,25.083333333333332,22.115350625690382,0.12055982510288242,-0.03128125
35c,B08,bg-2,1.2767722643891815,7.666666666666667,7.075031110142774,0.4270101283971006,-0.03128125
35c,C08,bg-3,0.8046189644823796,11.916666666666666,11.098724667256782,0.30596199843373567,-0.02028125
35c,D08,pms-1,0.6825680980132361,13.916666666666666,12.897357398745312,0.22906169130715354,-0.03228125
35c,E08,pms-2,1.0177610216901745,12.416666666666666,11.684817568718445,0.3039042396737153,-0.03128125
35c,F08,pms-3,1.0792612924876441,12.25,11.570620424376163,0.27965003518751413,-0.034
35c,G08,ppf-1,0.9456866264038599,14.083333333333334,13.355794588894469,0.2839907514903248,-0.03228125
35c,H08,40th-1,1.0325339342528188,13.666666666666666,12.807546088562667,0.3181576557604604,-0.03328125
25c,A01,H2M3R1,1.1218323414355025,20.416666666666668,19.70149009678426,0.3183091804480292,-0.034
25c,B01,H2M3R2,1.2984493437870301,24.833333333333332,24.284364152778892,0.3316585852822896,-0.034
25c,C01,H3M1R1,0.5568195941917468,35.166666666666664,33.94414916308015,0.10226997110642613,-0.03293750000000001
25c,D01,H3M3R2,0.3560212083294035,35.75,33.87259025307469,0.09117821918734924,-0.034
25c,E01,H3M4R1,0.28949122495750224,36.583333333333336,33.95980538373129,0.09766998879803294,-0.03193750000000001
25c,F01,H4M5R1,0.3033752610260103,38.416666666666664,36.22906616311767,0.09481472569222964,-0.03293750000000001
25c,G01,L1M2R2,0.2503533601660031,36.416666666666664,33.74053087038947,0.08095005852299622,-0.03393750000000001
25c,H01,L2M2R1,0.7370891645670348,35.166666666666664,34.183269522812616,0.1268726293323261,-0.034
25c,A02,H2M3R1,1.1380320616307433,20.75,20.161429589800804,0.32190123217471706,-0.034
25c,B02,H2M3R2,0.8919729855098749,24.25,23.42135460508194,0.35980346606625485,-0.03193750000000001
25c,C02,H3M1R1,0.26920340666334924,36.416666666666664,34.17260207183887,0.06782894814958898,-0.028937500000000005
25c,D02,H3M3R2,0.2987959461360972,36.166666666666664,34.05357869585786,0.08462061724265152,-0.027937500000000004
25c,E02,H3M4R1,0.2194800431459608,32.833333333333336,29.925495938640164,0.0838531277981008,-0.023937500000000014
25c,F02,H4M5R1,0.17697589680196896,37.916666666666664,34.167172110022996,0.08886534189235584,-0.0249375
25c,G02,L1M2R2,0.24314668196492717,39.5,36.872581744082225,0.06705688514784065,-0.027937500000000004
25c,H02,L2M2R1,0.3768769352279601,36.5,34.74733991950633,0.10290098448387042,-0.034
25c,A03,L2M4R1,0.5080089922630552,33.333333333333336,32.00578199102062,0.12285553527350046,-0.03393750000000001
25c,B03,L3M5R1,0.2472358016042526,33.75,31.203934440221687,0.06970873022862728,-0.027937500000000004
25c,C03,L4M2R2,1.1876368147703937,22.166666666666668,21.5349167497056,0.14621004609127924,-0.028937500000000005
25c,D03,L4M3R3,0.32305587092945437,30.916666666666668,28.997471539054615,0.06825227407295804,-0.029937500000000006
25c,E03,L4M4R1,0.23160812560183253,38.25,35.51669875238732,0.06881295496291588,-0.025937500000000002
25c,F03,L4M7R1,0.22625034122530532,32,29.311624183629018,0.06954177795114773,-0.027937500000000004
25c,G03,L3M1R1,0.26782545266112273,36.416666666666664,34.18498412322003,0.1251102184095244,-0.028937500000000005
25c,H03,src-2,0.5303610521578674,21.416666666666668,20.154021984193243,0.16594700302939577,-0.03193750000000001
25c,A04,L2M4R1,0.5722971413697527,36.833333333333336,35.424855007251345,0.11760809816460166,-0.03393750000000001
25c,B04,L3M5R1,0.21158423317541067,33.083333333333336,30.30560380374538,0.06881033984714251,-0.025937500000000002
25c,C04,L4M2R2,0.7235161180858267,19.083333333333332,17.788722639287172,0.14805796523927384,-0.028937500000000005
25c,D04,L4M3R3,0.20218329710587374,15.083333333333334,11.96539099103687,0.15282396731478803,-0.026937500000000003
25c,E04,L4M4R1,0.3005774055314541,20.916666666666668,18.720457063943936,0.15487060543333417,-0.029937500000000006
25c,F04,L4M7R1,0.19502078667137804,32.666666666666664,29.478382757344342,0.058380754389750336,-0.029937500000000006
25c,G04,L3M1R1,0.2508635178532642,46.333333333333336,42.915979938284586,0.10205199020137344,-0.03393750000000001
25c,H04,src-2,0.4286493994254022,23.333333333333332,21.769000046120745,0.15347534120399525,-0.03193750000000001
