Number,Nitrogen,Rhizobia,Rstate,Fixstate,Mortality_End,Gall_Counter,Egg_sacs,Galls,Additional_nodules,Nod_Counter,S_white,L_white,S_yellow,L_yellow,S_pink,L_pink,S_brown,L_brown,Total_nod,Total_Small,Total_Large,Shoot_biomass,Seed_pods,Shoot_minus_seed_pods,Seed_pod_biomass,Root_biomass,Block,Nod_weigher,Nod_mass,masspnod,Sample,Run_date,Sample_weight_mg,N_Retention,N_Response,N_weight_mg,N_percent,C_Retention,C_Response,C_weight_mg,C_percent
10,2.5,R-,R-,R-,1,Nova,1,1,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0849,0,NA,NA,0.0107,A,NA,0.0000,0.0000000,10-2,2/11,4.82,1.94,509.15,0.17,3.46,3.14,14492.91,1.88,39.03
109,0,Em1022,R+,Fix+,1,Nova,0,0,0,Yoon,2,0,2,0,0,16,0,0,20,4,16,0.103,0,NA,NA,0.0196,B,Bethany,0.0035,0.0001750,109-1,2/11,4.97,1.96,468.34,0.15,3.08,3.15,15311.14,1.99,40.03
109,0,Em1022,R+,Fix+,1,Nova,0,0,0,Yoon,2,0,2,0,0,16,0,0,20,4,16,0.103,0,NA,NA,0.0196,B,Bethany,0.0035,0.0001750,109-2,2/23,5.02,1.85,466.84,0.15,2.90,3.05,15133.98,1.90,37.84
11,2.5,R-,R-,R-,1,Nuri,15,15,1 small,Nuri,9,4,8,8,0,0,0,0,29,17,12,0.1967,0,NA,NA,0.0488,A,Nova,0.0022,0.0000759,11-1,2/11,4.74,1.94,376.88,0.12,2.57,3.13,14588.69,1.90,39.95
11,2.5,R-,R-,R-,1,Nuri,15,15,1 small,Nuri,9,4,8,8,0,0,0,0,29,17,12,0.1967,0,NA,NA,0.0488,A,Nova,0.0022,0.0000759,11-2,2/11,4.66,1.95,386.85,0.13,2.69,3.15,14355.29,1.86,40.04
113,0.625,Em1022,R+,Fix+,1,Nova,7,7,0,Chig,4,0,8,6,1,0,0,0,19,13,6,0.0228,0,NA,NA,0.0054,B,Bethany,0.0012,0.0000632,113-1,2/11,4.85,1.96,315.91,0.10,2.09,3.17,13240.29,1.72,35.44
113,0.625,Em1022,R+,Fix+,1,Nova,7,7,0,Chig,4,0,8,6,1,0,0,0,19,13,6,0.0228,0,NA,NA,0.0054,B,Bethany,0.0012,0.0000632,113-2,2/23,5.28,1.86,270.30,0.08,1.57,3.07,13867.78,1.74,32.98
117,2.5,Em1022,R+,Fix+,1,Nova,17,18,0,Chig,10,14,4,63,0,0,0,0,91,14,77,0.2336,0,NA,NA,0.0459,B,Bethany,0.0052,0.0000571,115-1,2/11,4.42,1.94,230.72,0.07,1.64,3.15,13833.31,1.80,40.61
117,2.5,Em1022,R+,Fix+,1,Nova,17,18,0,Chig,10,14,4,63,0,0,0,0,91,14,77,0.2336,0,NA,NA,0.0459,B,Bethany,0.0052,0.0000571,115-2,2/11,4.58,1.95,239.85,0.08,1.65,3.14,14244.43,1.85,40.40
144,2.5,Rm41,R+,Fix-,1,Nuri,7,8,0,Nuri,22,23,1,13,0,0,0,0,59,23,36,0.2649,1,0.2165,0.0505,0.0418,C,Nova,0.0037,0.0000627,144-1,2/9,4.28,1.92,238.11,0.07,1.70,3.13,13466.39,1.68,39.21
144,2.5,Rm41,R+,Fix-,1,Nuri,7,8,0,Nuri,22,23,1,13,0,0,0,0,59,23,36,0.2649,1,0.2165,0.0505,0.0418,C,Nova,0.0037,0.0000627,144-2,2/11,4.93,1.95,240.94,0.08,1.54,3.13,15545.40,2.02,40.98
149,0.625,A145,R+,Fix-,1,Nuri,26,25,"3 large, 1 small",Nuri,15,13,3,20,0,0,0,0,51,18,33,0.0416,0,NA,NA,0.0153,C,Bethany,0.0030,0.0000588,149-1,2/8,4.97,1.94,180.07,0.05,1.06,3.15,13667.89,1.76,35.30
149,0.625,A145,R+,Fix-,1,Nuri,26,25,"3 large, 1 small",Nuri,15,13,3,20,0,0,0,0,51,18,33,0.0416,0,NA,NA,0.0153,C,Bethany,0.0030,0.0000588,149-2,2/23,4.65,1.84,167.76,0.05,1.08,3.08,12472.29,1.57,33.67
153,2.5,A145,R+,Fix-,1,Nuri,0,0,2 small,Nuri,2,1,3,0,0,0,0,0,6,5,1,0.0852,0,NA,NA,0.0149,C,Yasmeen,0.0004,0.0000667,153-1,2/9,4.38,1.93,444.22,0.14,3.20,3.14,13417.83,1.67,38.14
153,2.5,A145,R+,Fix-,1,Nuri,0,0,2 small,Nuri,2,1,3,0,0,0,0,0,6,5,1,0.0852,0,NA,NA,0.0149,C,Yasmeen,0.0004,0.0000667,153-2,2/23,4.66,1.85,460.20,0.14,3.08,3.07,14079.77,1.77,37.89
179,2.5,Em1022,R+,Fix+,1,Nova,11,11,0,Nova,20,4,8,26,0,0,0,0,58,28,30,0.285,2,0.2314,0.054,0.0424,C,Yasmeen,0.0052,0.0000897,179-1,2/11,4.48,1.94,214.73,0.07,1.50,3.14,13743.53,1.79,39.83
179,2.5,Em1022,R+,Fix+,1,Nova,11,11,0,Nova,20,4,8,26,0,0,0,0,58,28,30,0.285,2,0.2314,0.054,0.0424,C,Yasmeen,0.0052,0.0000897,179-2,2/11,4.99,1.94,243.26,0.08,1.54,3.13,15197.80,1.97,39.60
18,0.625,Rm41,R+,Fix-,1,Nova,14,15,2,Nova,12,2,9,5,0,0,0,0,28,21,7,0.0277,0,NA,NA,0.0089,A,Nova,0.0016,0.0000571,18-1,2/9,4.47,1.93,215.66,0.07,1.46,3.14,12935.44,1.61,36.00
