from,gene,non_unique_gene_name,annotation
dinG,dinG,dinG,3'-5' exonuclease DinG
cbbX,cbbX,cbbX,Protein CbbX
ppk,ppk,;ppk,hypothetical protein;Polyphosphate kinase
dnaA,dnaA_1,dnaA_1,Chromosomal replication initiator protein DnaA
sasA,sasA_4,sasA_4,Adaptive-response sensory-kinase SasA
hrcA,hrcA,hrcA,Heat-inducible transcription repressor HrcA
phnG,phnG,phnG,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
nagK,nagK,nagK;,N-acetyl-D-glucosamine kinase;hypothetical protein
rpe,rpe_2,rpe_2,Ribulose-phosphate 3-epimerase
vat,vat_2,vat_2,Virginiamycin A acetyltransferase
luxA,luxA,;luxA,hypothetical protein;Alkanal monooxygenase alpha chain
clpA,clpA,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
malE,malE,;malE,hypothetical protein;Maltose/maltodextrin-binding periplasmic protein
cysK,cysK,;cysK,hypothetical protein;Cysteine synthase
yibF,yibF,yibF;,putative GST-like protein YibF;hypothetical protein
csxA,csxA,;csxA,hypothetical protein;Exo-beta-D-glucosaminidase
aspC,aspC_1,aspC_1,Aspartate/prephenate aminotransferase
pldB,pldB,;pldB,hypothetical protein;Lysophospholipase L2
xsc,xsc,;xsc,hypothetical protein;Sulfoacetaldehyde acetyltransferase
dppA,dppA_2,;dppA_2,hypothetical protein;Periplasmic dipeptide transport protein
FCS1,FCS1,FCS1;,Trans-feruloyl-CoA synthase FCS1;hypothetical protein
ung,ung,;ung,Uracil-DNA glycosylase
ptsJ,ptsJ_1,;ptsJ_1,hypothetical protein;Vitamin B6 salvage pathway transcriptional repressor PtsJ
catI,catI,catI;,3-oxoadipate CoA-transferase subunit A;hypothetical protein
alsK,alsK,;alsK,hypothetical protein;D-allose kinase
phoU,phoU,phoU,Phosphate-specific transport system accessory protein PhoU
hemE,hemE,hemE,Uroporphyrinogen decarboxylase
puuB,puuB_5,;puuB_5,hypothetical protein;Gamma-glutamylputrescine oxidoreductase
sugC,sugC_1,sugC_1,Trehalose import ATP-binding protein SugC
pgdA,pgdA,pgdA;,Peptidoglycan deacetylase;hypothetical protein
lacF,lacF_6,;lacF_6,hypothetical protein;Lactose transport system permease protein LacF
ycdX,ycdX,ycdX,phosphatase YcdX
glnP,glnP_1,glnP_1,Glutamine transport system permease protein GlnP
arnB,arnB,arnB,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
metB,metB,metB,Cystathionine gamma-synthase
ugpB,ugpB_1,;ugpB_1,hypothetical protein;sn-glycerol-3-phosphate-binding periplasmic protein UgpB
dppE,dppE,;dppE,hypothetical protein;Dipeptide-binding protein DppE
hypBA1,hypBA1,;hypBA1,hypothetical protein;Non-reducing end beta-L-arabinofuranosidase
braC,braC,braC,Leucine- isoleucine- valine- threonine- and alanine-binding protein
yfiC,yfiC,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase
luxR,luxR,luxR,Transcriptional activator protein LuxR
glmM,glmM,glmM,Phosphoglucosamine mutase
sufS,sufS,sufS;,Cysteine desulfurase;hypothetical protein
panB,panB_2,panB_2,3-methyl-2-oxobutanoate hydroxymethyltransferase
ngcG,ngcG_6,;ngcG_6,hypothetical protein;Diacetylchitobiose uptake system permease protein NgcG
ctaG,ctaG,ctaG,Cytochrome c oxidase assembly protein CtaG
