gene,non_unique_gene_name,annotation,from
pyrH,pyrH,Uridylate kinase,pyrH
cyoC_2,cyoC_2,Cytochrome bo(3) ubiquinol oxidase subunit 3,cyoC
glnQ_2,glnQ_2,Glutamine transport ATP-binding protein GlnQ,glnQ
lutR_10,lutR_10,HTH-type transcriptional regulator LutR,lutR
phaB,phaB,Acetoacetyl-CoA reductase,phaB
hisQ_2,hisQ_2,Histidine transport system permease protein HisQ,hisQ
flgF,flgF,Flagellar basal-body rod protein FlgF,flgF
arsH,arsH,NADPH-dependent FMN reductase ArsH,arsH
pcs,pcs,Phosphatidylcholine synthase,pcs
golD_3,golD_3,NAD-dependent glycerol dehydrogenase,golD
hyuA_1,hyuA_1,Hydantoin racemase,hyuA
sdh,sdh,Serine 3-dehydrogenase,sdh
lnrL_1,lnrL_1,Linearmycin resistance ATP-binding protein LnrL,lnrL
gamR_2,gamR_2,HTH-type transcriptional repressor GamR,gamR
murU,murU,N-acetylmuramate alpha-1-phosphate uridylyltransferase,murU
lutR_3,lutR_3,HTH-type transcriptional regulator LutR,lutR
fabG_3,fabG_3,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
nanR_2,nanR_2,HTH-type transcriptional repressor NanR,nanR
prmC_1,prmC_1,Release factor glutamine methyltransferase,prmC
mngR,mngR,Mannosyl-D-glycerate transport/metabolism system repressor MngR,mngR
fabG_16,fabG_16,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
frcA_7,frcA_7,Fructose import ATP-binding protein FrcA,frcA
ybhL,ybhL,Inner membrane protein YbhL,ybhL
cutC,cutC,Copper homeostasis protein CutC,cutC
fliP,fliP,Flagellar biosynthetic protein FliP,fliP
rlmE,rlmE,Ribosomal RNA large subunit methyltransferase E,rlmE
rsmE,rsmE,Ribosomal RNA small subunit methyltransferase E,rsmE
fabG_7,fabG_7,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
ompR_2,ompR_2,Transcriptional regulatory protein OmpR,ompR
yehW,yehW,Glycine betaine uptake system permease protein YehW,yehW
rpaR_2,rpaR_2,HTH-type quorum sensing-dependent transcriptional regulator RpaR,rpaR
yciK,yciK,putative oxidoreductase YciK,yciK
lptB_3,lptB_3,Lipopolysaccharide export system ATP-binding protein LptB,lptB
frcA_2,frcA_2,Fructose import ATP-binding protein FrcA,frcA
nagR_3,nagR_3,HTH-type transcriptional repressor NagR,nagR
truA,truA,tRNA pseudouridine synthase A,truA
lepB,lepB,Signal peptidase I,lepB
uppS,uppS,Ditranspolycis-undecaprenyl-diphosphate synthase ((2E6E)-farnesyl-diphosphate specific),uppS
ubiG,ubiG,Ubiquinone biosynthesis O-methyltransferase,ubiG
prs_2,prs_2,Putative ribose-phosphate pyrophosphokinase,prs
alaS_2,alaS_2,Alanine--tRNA ligase,alaS
lutR_1,lutR_1,HTH-type transcriptional regulator LutR,lutR
golD_1,golD_1,NAD-dependent glycerol dehydrogenase,golD
minC,minC,Septum site-determining protein MinC,minC
gno_1,gno_1,Gluconate 5-dehydrogenase,gno
ygfF,ygfF,putative oxidoreductase YgfF,ygfF
kdsB,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,kdsB
atpB,atpB,ATP synthase subunit a,atpB
pdxJ,pdxJ,Pyridoxine 5'-phosphate synthase,pdxJ
fixK_1,fixK_1,Nitrogen fixation regulation protein FixK,fixK
lptB_1,lptB_1,Lipopolysaccharide export system ATP-binding protein LptB,lptB
osmY,osmY,Osmoprotectant import permease protein OsmY,osmY
cobI,cobI,Precorrin-2 C(20)-methyltransferase,cobI
glnQ_4,glnQ_4,Glutamine transport ATP-binding protein GlnQ,glnQ
tlyA,tlyA,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA,tlyA
linC,linC,25-dichloro-25-cyclohexadiene-14-diol dehydrogenase,linC
sufC,sufC,putative ATP-dependent transporter SufC,sufC
lldR,lldR,Putative L-lactate dehydrogenase operon regulatory protein,lldR
pcaR,pcaR,Pca regulon regulatory protein,pcaR
fabG_13,fabG_13,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
cobM,cobM,Precorrin-4 C(11)-methyltransferase,cobM
kduD_3,kduD_3,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,kduD
yadH,yadH,Inner membrane transport permease YadH,yadH
bacC_2,bacC_2,Dihydroanticapsin 7-dehydrogenase,bacC
fecE_1,fecE_1,Fe(3+) dicitrate transport ATP-binding protein FecE,fecE
pcaH,pcaH,Protocatechuate 34-dioxygenase beta chain,pcaH
cobJ,cobJ,Precorrin-3B C(17)-methyltransferase,cobJ
glpR_3,glpR_3,Glycerol-3-phosphate regulon repressor,glpR
moeZ,moeZ,putative adenylyltransferase/sulfurtransferase MoeZ,moeZ
fabG_6,fabG_6,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
purC,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,purC
amiD_1,amiD_1,N-acetylmuramoyl-L-alanine amidase AmiD,amiD
golD_2,golD_2,NAD-dependent glycerol dehydrogenase,golD
kduD_2,kduD_2,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,kduD
nanR_1,nanR_1,HTH-type transcriptional repressor NanR,nanR
lptB_2,lptB_2,Lipopolysaccharide export system ATP-binding protein LptB,lptB
gno_3,gno_3,Gluconate 5-dehydrogenase,gno
birA,birA,Bifunctional ligase/repressor BirA,birA
rpsB,rpsB,30S ribosomal protein S2,rpsB
eryH,eryH,L-erythrulose-1-phosphate isomerase,eryH
oppF_2,oppF_2,Oligopeptide transport ATP-binding protein OppF,oppF
gloB_2,gloB_2,Hydroxyacylglutathione hydrolase GloB,gloB
ccmC,ccmC,Heme exporter protein C,ccmC
tpiA,tpiA,Triosephosphate isomerase,tpiA
surE,surE,5'-nucleotidase SurE,surE
gdh_1,gdh_1,Galactitol 2-dehydrogenase,gdh
nanR_5,nanR_5,HTH-type transcriptional repressor NanR,nanR
ssuB_1,ssuB_1,Aliphatic sulfonates import ATP-binding protein SsuB,ssuB
fabG_9,fabG_9,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
echA8_2,echA8_2,putative enoyl-CoA hydratase echA8,echA8
occP_2,occP_2,Octopine permease ATP-binding protein P,occP
tam_2,tam_2,Trans-aconitate 2-methyltransferase,tam
nadK,nadK,NAD kinase,nadK
polS,polS,Sorbitol dehydrogenase,polS
gdh_3,gdh_3,Galactitol 2-dehydrogenase,gdh
thiG,thiG,Thiazole synthase,thiG
yurK,yurK,putative HTH-type transcriptional regulator YurK,yurK
xthA_1,xthA_1,Exodeoxyribonuclease III,xthA
metQ,metQ,D-methionine-binding lipoprotein MetQ,metQ
hisF,hisF,Imidazole glycerol phosphate synthase subunit HisF,hisF
glnQ_3,glnQ_3,Glutamine transport ATP-binding protein GlnQ,glnQ
cysQ_4,cysQ_4,3'(2')5'-bisphosphate nucleotidase CysQ,cysQ
bdhA,bdhA,D-beta-hydroxybutyrate dehydrogenase,bdhA
artI_1,artI_1,Putative ABC transporter arginine-binding protein 2,artI
phnK,phnK,Putative phosphonates utilization ATP-binding protein PhnK,phnK
hisN,hisN,Histidinol-phosphatase,hisN
sdhB,sdhB,Succinate dehydrogenase iron-sulfur subunit,sdhB
fabG_8,fabG_8,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
recO,recO,DNA repair protein RecO,recO
dtd3,dtd3,D-aminoacyl-tRNA deacylase,dtd3
ucpA,ucpA,Oxidoreductase UcpA,ucpA
rpaR_3,rpaR_3,HTH-type quorum sensing-dependent transcriptional regulator RpaR,rpaR
argT,argT,Lysine/arginine/ornithine-binding periplasmic protein,argT
artJ_2,artJ_2,ABC transporter arginine-binding protein 1,artJ
caiD_2,caiD_2,Carnitinyl-CoA dehydratase,caiD
kdgR_1,kdgR_1,Transcriptional regulator KdgR,kdgR
modA,modA,Molybdate-binding protein ModA,modA
udh,udh,Uronate dehydrogenase,udh
glpR_2,glpR_2,Glycerol-3-phosphate regulon repressor,glpR
paaC,paaC,12-phenylacetyl-CoA epoxidase subunit C,paaC
glnQ_1,glnQ_1,Glutamine transport ATP-binding protein GlnQ,glnQ
maiA_1,maiA_1,Maleate isomerase,maiA
fadB,fadB,putative enoyl-CoA hydratase,fadB
catJ,catJ,3-oxoadipate CoA-transferase subunit B,catJ
mtgA_4,mtgA_4,Biosynthetic peptidoglycan transglycosylase,mtgA
flgG,flgG,Flagellar basal-body rod protein FlgG,flgG
hmuV,hmuV,Hemin import ATP-binding protein HmuV,hmuV
xthA_3,xthA_3,Exodeoxyribonuclease III,xthA
crt_1,crt_1,Short-chain-enoyl-CoA hydratase,crt
ydcV_2,ydcV_2,Inner membrane ABC transporter permease protein YdcV,ydcV
parA,parA,Chromosome partitioning protein ParA,parA
thyA,thyA,Thymidylate synthase,thyA
yfiH,yfiH,Polyphenol oxidase,yfiH
phyR_1,phyR_1,Phyllosphere-induced regulator PhyR,phyR
gdh_2,gdh_2,Galactitol 2-dehydrogenase,gdh
COQ5_4,COQ5_4,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,COQ5
cmoB,cmoB,tRNA U34 carboxymethyltransferase,cmoB
cutM_2,cutM_2,Carbon monoxide dehydrogenase medium chain,cutM
punA,punA,Purine nucleoside phosphorylase 1,punA
phyR_2,phyR_2,Phyllosphere-induced regulator PhyR,phyR
cysH,cysH,Thioredoxin-dependent 5'-adenylylsulfate reductase,cysH
dasC_6,dasC_6,Diacetylchitobiose uptake system permease protein DasC,dasC
cmpD,cmpD,Bicarbonate transport ATP-binding protein CmpD,cmpD
suhB_3,suhB_3,Inositol-1-monophosphatase,suhB
cobK,cobK,Precorrin-6A reductase,cobK
hpcH,hpcH,4-hydroxy-2-oxo-heptane-17-dioate aldolase,hpcH
iolB,iolB,5-deoxy-glucuronate isomerase,iolB
thiD,thiD,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,thiD
COQ5_2,COQ5_2,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,COQ5
linX,linX,25-dichloro-25-cyclohexadiene-14-diol dehydrogenase LinX,linX
hisQ_1,hisQ_1,Histidine transport system permease protein HisQ,hisQ
xthA_4,xthA_4,Exodeoxyribonuclease III,xthA
fabI_2,fabI_2,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,fabI
uppP,uppP,Undecaprenyl-diphosphatase,uppP
pstB,pstB,Phosphate import ATP-binding protein PstB,pstB
artI_2,artI_2,Putative ABC transporter arginine-binding protein 2,artI
catD,catD,3-oxoadipate enol-lactonase 2,catD
bpoC,bpoC,Putative non-heme bromoperoxidase BpoC,bpoC
bepA_4,bepA_4,Beta-barrel assembly-enhancing protease,bepA
purN_1,purN_1,Phosphoribosylglycinamide formyltransferase,purN
exoK,exoK,Endo-13-14-beta-glycanase ExoK,exoK
COQ5_1,COQ5_1,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,COQ5
rsmA_2,rsmA_2,Ribosomal RNA small subunit methyltransferase A,rsmA
mshD,mshD,Mycothiol acetyltransferase,mshD
kefG,kefG,Glutathione-regulated potassium-efflux system ancillary protein KefG,kefG
frlD,frlD,Fructoselysine 6-kinase,frlD
lptB_4,lptB_4,Lipopolysaccharide export system ATP-binding protein LptB,lptB
ulaR,ulaR,HTH-type transcriptional regulator UlaR,ulaR
fpr,fpr,Flavodoxin/ferredoxin--NADP reductase,fpr
tauB,tauB,Taurine import ATP-binding protein TauB,tauB
ngcG_1,ngcG_1,Diacetylchitobiose uptake system permease protein NgcG,ngcG
egtC,egtC,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,egtC
trpC,trpC,Indole-3-glycerol phosphate synthase,trpC
ydcV_3,ydcV_3,Inner membrane ABC transporter permease protein YdcV,ydcV
minD,minD,Septum site-determining protein MinD,minD
hyi,hyi,Hydroxypyruvate isomerase,hyi
suhB_2,suhB_2,Fructose-16-bisphosphatase/inositol-1-monophosphatase,suhB
fabI_1,fabI_1,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,fabI
ydcV_4,ydcV_4,Inner membrane ABC transporter permease protein YdcV,ydcV
proC_2,proC_2,Pyrroline-5-carboxylate reductase,proC
gsiD_2,gsiD_2,Glutathione transport system permease protein GsiD,gsiD
lacG,lacG,Lactose transport system permease protein LacG,lacG
gsiD_9,gsiD_9,Glutathione transport system permease protein GsiD,gsiD
yxeN,yxeN,putative amino-acid permease protein YxeN,yxeN
yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein,yqfL
echA8_1,echA8_1,putative enoyl-CoA hydratase echA8,echA8
ymdB,ymdB,2'3'-cyclic-nucleotide 2'-phosphodiesterase,ymdB
dasC_5,dasC_5,Diacetylchitobiose uptake system permease protein DasC,dasC
rsmA_1,rsmA_1,Ribosomal RNA small subunit methyltransferase A,rsmA
araQ_1,araQ_1,L-arabinose transport system permease protein AraQ,araQ
nosY,nosY,putative ABC transporter permease protein NosY,nosY
opuAA_2,opuAA_2,Glycine betaine transport ATP-binding protein OpuAA,opuAA
rlmB_2,rlmB_2,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,rlmB
fliY_3,fliY_3,L-cystine-binding protein FliY,fliY
pdhR,pdhR,Pyruvate dehydrogenase complex repressor,pdhR
dkgB,dkgB,25-diketo-D-gluconic acid reductase B,dkgB
cysE,cysE,Serine acetyltransferase,cysE
COQ3_1,COQ3_1,Ubiquinone biosynthesis O-methyltransferase mitochondrial,COQ3
znuB,znuB,High-affinity zinc uptake system membrane protein ZnuB,znuB
cpo_2,cpo_2,Non-heme chloroperoxidase,cpo
apnO,apnO,D-apionate oxidoisomerase,apnO
rfbD,rfbD,dTDP-4-dehydrorhamnose reductase,rfbD
ssuC_2,ssuC_2,Putative aliphatic sulfonates transport permease protein SsuC,ssuC
dasC_1,dasC_1,Diacetylchitobiose uptake system permease protein DasC,dasC
ycjP_2,ycjP_2,Inner membrane ABC transporter permease protein YcjP,ycjP
cpo_5,cpo_5,Non-heme chloroperoxidase,cpo
trmJ,trmJ,tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ,trmJ
ngcG_2,ngcG_2,Diacetylchitobiose uptake system permease protein NgcG,ngcG
fghA_1,fghA_1,S-formylglutathione hydrolase,fghA
sugB_3,sugB_3,Trehalose transport system permease protein SugB,sugB
ydcV_1,ydcV_1,Inner membrane ABC transporter permease protein YdcV,ydcV
cpo_1,cpo_1,Non-heme chloroperoxidase,cpo
fghA_2,fghA_2,S-formylglutathione hydrolase,fghA
mazG,mazG,Nucleoside triphosphate pyrophosphohydrolase,mazG
murI,murI,Glutamate racemase,murI
rcsC_6,rcsC_6,Sensor histidine kinase RcsC,rcsC
oppD_3,oppD_3,Oligopeptide transport ATP-binding protein OppD,oppD
ureD,ureD,Urease accessory protein UreD,ureD
dasC_4,dasC_4,Diacetylchitobiose uptake system permease protein DasC,dasC
rplB,rplB,50S ribosomal protein L2,rplB
glpR_1,glpR_1,Glycerol-3-phosphate regulon repressor,glpR
rob,rob,Right origin-binding protein,rob
ngcG_4,ngcG_4,Diacetylchitobiose uptake system permease protein NgcG,ngcG
scpA,scpA,Segregation and condensation protein A,scpA
map_2,map_2,Methionine aminopeptidase,map
kduI1,kduI1,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1,kduI1
tatC,tatC,Sec-independent protein translocase protein TatC,tatC
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,lgt
lsrF,lsrF,3-hydroxy-5-phosphonooxypentane-24-dione thiolase,lsrF
hldD_1,hldD_1,ADP-L-glycero-D-manno-heptose-6-epimerase,hldD
lpxH,lpxH,UDP-23-diacylglucosamine hydrolase,lpxH
hdfR_2,hdfR_2,HTH-type transcriptional regulator HdfR,hdfR
opuAB,opuAB,Glycine betaine transport system permease protein OpuAB,opuAB
sugB_2,sugB_2,Trehalose transport system permease protein SugB,sugB
ssuC_1,ssuC_1,Putative aliphatic sulfonates transport permease protein SsuC,ssuC
ngcG_7,ngcG_7,Diacetylchitobiose uptake system permease protein NgcG,ngcG
ygfZ,ygfZ,tRNA-modifying protein YgfZ,ygfZ
hcaB_4,hcaB_4,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
araQ_3,araQ_3,L-arabinose transport system permease protein AraQ,araQ
araQ_2,araQ_2,L-arabinose transport system permease protein AraQ,araQ
kduI,kduI,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,kduI
ycbX,ycbX,putative protein YcbX,ycbX
folP,folP,Dihydropteroate synthase,folP
virB9_1,virB9_1,Type IV secretion system protein virB9,virB9
cbf2,cbf2,Putative peptidyl-prolyl cis-trans isomerase Cbf2,cbf2
mntB_1,mntB_1,Manganese transport system membrane protein MntB,mntB
pheA,pheA,Bifunctional chorismate mutase/prephenate dehydratase,pheA
dppD_1,dppD_1,Dipeptide transport ATP-binding protein DppD,dppD
potB_1,potB_1,Spermidine/putrescine transport system permease protein PotB,potB
nit1,nit1,Deaminated glutathione amidase,nit1
ousW_2,ousW_2,Glycine betaine/choline transport system permease protein OusW,ousW
mntB_2,mntB_2,Manganese transport system membrane protein MntB,mntB
dapD,dapD,2345-tetrahydropyridine-26-dicarboxylate N-succinyltransferase,dapD
sugB_4,sugB_4,Trehalose transport system permease protein SugB,sugB
sigJ,sigJ,ECF RNA polymerase sigma factor SigJ,sigJ
ydaD,ydaD,General stress protein 39,ydaD
ycjP_1,ycjP_1,Inner membrane ABC transporter permease protein YcjP,ycjP
aroE_1,aroE_1,Quinate/shikimate dehydrogenase (NAD(+)),aroE
sseA,sseA,3-mercaptopyruvate sulfurtransferase,sseA
ssuC_4,ssuC_4,Putative aliphatic sulfonates transport permease protein SsuC,ssuC
dasC_3,dasC_3,Diacetylchitobiose uptake system permease protein DasC,dasC
ngcF,ngcF,Diacetylchitobiose uptake system permease protein NgcF,ngcF
rpoH_1,rpoH_1,RNA polymerase sigma factor RpoH,rpoH
aviRb,aviRb,23S rRNA (uridine(2479)-2'-O)-methyltransferase,aviRb
bamD,bamD,Outer membrane protein assembly factor BamD,bamD
dasC_2,dasC_2,Diacetylchitobiose uptake system permease protein DasC,dasC
cysT,cysT,Sulfate transport system permease protein CysT,cysT
rlmJ,rlmJ,Ribosomal RNA large subunit methyltransferase J,rlmJ
ribX,ribX,Riboflavin transport system permease protein RibX,ribX
prkA,prkA,Phosphoribulokinase 1,prkA
phzF_3,phzF_3,Trans-23-dihydro-3-hydroxyanthranilate isomerase,phzF
yofA,yofA,HTH-type transcriptional regulator YofA,yofA
mmgB,mmgB,putative 3-hydroxybutyryl-CoA dehydrogenase,mmgB
ogt_2,ogt_2,Methylated-DNA--protein-cysteine methyltransferase,ogt
sugA_3,sugA_3,Trehalose transport system permease protein SugA,sugA
potB_3,potB_3,Spermidine/putrescine transport system permease protein PotB,potB
dhaA,dhaA,Haloalkane dehalogenase,dhaA
yeeZ,yeeZ,Protein YeeZ,yeeZ
panC,panC,Pantothenate synthetase,panC
hcaB_3,hcaB_3,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
cysW_1,cysW_1,Sulfate transport system permease protein CysW,cysW
sugB_1,sugB_1,Trehalose transport system permease protein SugB,sugB
melD_4,melD_4,Melibiose/raffinose/stachyose import permease protein MelD,melD
lgoR,lgoR,putative HTH-type transcriptional regulator LgoR,lgoR
motA,motA,Motility protein A,motA
ctaE_1,ctaE_1,Cytochrome c oxidase subunit 3,ctaE
glxR_3,glxR_3,2-hydroxy-3-oxopropionate reductase,glxR
virB9_2,virB9_2,Protein virB9,virB9
prmC_2,prmC_2,Release factor glutamine methyltransferase,prmC
ribN_5,ribN_5,Riboflavin transporter,ribN
gsiD_4,gsiD_4,Glutathione transport system permease protein GsiD,gsiD
livH_5,livH_5,High-affinity branched-chain amino acid transport system permease protein LivH,livH
pdxY,pdxY,Pyridoxal kinase PdxY,pdxY
ilvE_1,ilvE_1,Branched-chain-amino-acid aminotransferase,ilvE
cysW_2,cysW_2,Sulfate transport system permease protein CysW,cysW
dapA_4,dapA_4,4-hydroxy-tetrahydrodipicolinate synthase,dapA
ugpA,ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA,ugpA
ycjO_2,ycjO_2,Inner membrane ABC transporter permease protein YcjO,ycjO
rmlA,rmlA,Glucose-1-phosphate thymidylyltransferase,rmlA
rhaS_1,rhaS_1,HTH-type transcriptional activator RhaS,rhaS
atpG,atpG,ATP synthase gamma chain,atpG
tesB,tesB,Acyl-CoA thioesterase 2,tesB
araB_3,araB_3,L-arabinolactonase,araB
ctaC_2,ctaC_2,Cytochrome c oxidase subunit 2,ctaC
dapA_5,dapA_5,4-hydroxy-tetrahydrodipicolinate synthase,dapA
dasB,dasB,Diacetylchitobiose uptake system permease protein DasB,dasB
fabG_2,fabG_2,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
glxR_1,glxR_1,2-hydroxy-3-oxopropionate reductase,glxR
carD,carD,Caffeyl-CoA reductase-Etf complex subunit CarD,carD
gcvA_8,gcvA_8,Glycine cleavage system transcriptional activator,gcvA
yddG,yddG,Aromatic amino acid exporter YddG,yddG
gtaB_2,gtaB_2,UTP--glucose-1-phosphate uridylyltransferase,gtaB
ngcG_5,ngcG_5,Diacetylchitobiose uptake system permease protein NgcG,ngcG
argB,argB,Acetylglutamate kinase,argB
garR_1,garR_1,2-hydroxy-3-oxopropionate reductase,garR
pip_2,pip_2,Proline iminopeptidase,pip
parB,parB,Chromosome-partitioning protein ParB,parB
catE,catE,Catechol-23-dioxygenase,catE
hexR_2,hexR_2,HTH-type transcriptional regulator HexR,hexR
livH_2,livH_2,High-affinity branched-chain amino acid transport system permease protein LivH,livH
rbsB_4,rbsB_4,Ribose import binding protein RbsB,rbsB
gcvA_6,gcvA_6,Glycine cleavage system transcriptional activator,gcvA
sugA_1,sugA_1,Trehalose transport system permease protein SugA,sugA
phnJ,phnJ,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase,phnJ
gltX_2,gltX_2,Glutamate--tRNA ligase,gltX
mak,mak,Fructokinase,mak
cynR_2,cynR_2,HTH-type transcriptional regulator CynR,cynR
murQ,murQ,N-acetylmuramic acid 6-phosphate etherase,murQ
dmlR_6,dmlR_6,HTH-type transcriptional regulator DmlR,dmlR
livH_4,livH_4,High-affinity branched-chain amino acid transport system permease protein LivH,livH
gsiD_3,gsiD_3,Glutathione transport system permease protein GsiD,gsiD
cysL,cysL,HTH-type transcriptional regulator CysL,cysL
lacF_3,lacF_3,Lactose transport system permease protein LacF,lacF
cynR_1,cynR_1,HTH-type transcriptional regulator CynR,cynR
pgrR_2,pgrR_2,HTH-type transcriptional regulator PgrR,pgrR
mmsB,mmsB,putative 3-hydroxyisobutyrate dehydrogenase,mmsB
gcvA_9,gcvA_9,Glycine cleavage system transcriptional activator,gcvA
rhaR_6,rhaR_6,HTH-type transcriptional activator RhaR,rhaR
rbsK,rbsK,Ribokinase,rbsK
pgrR_4,pgrR_4,HTH-type transcriptional regulator PgrR,pgrR
nanA,nanA,N-acetylneuraminate lyase,nanA
gcvA_1,gcvA_1,Glycine cleavage system transcriptional activator,gcvA
benM,benM,HTH-type transcriptional regulator BenM,benM
sucD,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,sucD
iolE_1,iolE_1,Inosose dehydratase,iolE
livH_3,livH_3,High-affinity branched-chain amino acid transport system permease protein LivH,livH
murR,murR,HTH-type transcriptional regulator MurR,murR
hcaB_1,hcaB_1,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
gcvA_2,gcvA_2,Glycine cleavage system transcriptional activator,gcvA
melD_1,melD_1,Melibiose/raffinose/stachyose import permease protein MelD,melD
ycjO_4,ycjO_4,Inner membrane ABC transporter permease protein YcjO,ycjO
ycjO_3,ycjO_3,Inner membrane ABC transporter permease protein YcjO,ycjO
rpoH_2,rpoH_2,RNA polymerase sigma factor RpoH,rpoH
dapF,dapF,Diaminopimelate epimerase,dapF
purF_2,purF_2,Amidophosphoribosyltransferase,purF
trxB_2,trxB_2,Thioredoxin reductase,trxB
mutM,mutM,Formamidopyrimidine-DNA glycosylase,mutM
occR_1,occR_1,Octopine catabolism/uptake operon regulatory protein OccR,occR
dmlR_3,dmlR_3,HTH-type transcriptional regulator DmlR,dmlR
ltnD_1,ltnD_1,L-threonate dehydrogenase,ltnD
cheR,cheR,Chemotaxis protein methyltransferase,cheR
dppC_2,dppC_2,Dipeptide transport system permease protein DppC,dppC
gloB_1,gloB_1,Hydroxyacylglutathione hydrolase,gloB
pgrR_5,pgrR_5,HTH-type transcriptional regulator PgrR,pgrR
ribN_3,ribN_3,Riboflavin transporter,ribN
melD_3,melD_3,Melibiose/raffinose/stachyose import permease protein MelD,melD
miaA,miaA,tRNA dimethylallyltransferase,miaA
bepA_1,bepA_1,Protein adenylyltransferase,bepA
laaA,laaA,L-amino acid amidase,laaA
argF,argF,Ornithine carbamoyltransferase anabolic,argF
potH_1,potH_1,Putrescine transport system permease protein PotH,potH
pqqB,pqqB,Coenzyme PQQ synthesis protein B,pqqB
ribN_1,ribN_1,Riboflavin transporter,ribN
gnl_2,gnl_2,Gluconolactonase,gnl
accD,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD
gsiC_2,gsiC_2,Glutathione transport system permease protein GsiC,gsiC
gsiD_6,gsiD_6,Glutathione transport system permease protein GsiD,gsiD
phzF_2,phzF_2,Trans-23-dihydro-3-hydroxyanthranilate isomerase,phzF
phzF_1,phzF_1,Trans-23-dihydro-3-hydroxyanthranilate isomerase,phzF
kdgK_2,kdgK_2,2-dehydro-3-deoxygluconokinase,kdgK
yehZ,yehZ,Glycine betaine-binding protein YehZ,yehZ
dgoK1_1,dgoK1_1,putative 2-dehydro-3-deoxygalactonokinase DgoK1,dgoK1
gsiC_6,gsiC_6,Glutathione transport system permease protein GsiC,gsiC
fieF,fieF,Ferrous-iron efflux pump FieF,fieF
paaX,paaX,Transcriptional repressor PaaX,paaX
rcsC_13,rcsC_13,Sensor histidine kinase RcsC,rcsC
ghrA_2,ghrA_2,Glyoxylate/hydroxypyruvate reductase A,ghrA
pgrR_9,pgrR_9,HTH-type transcriptional regulator PgrR,pgrR
ribN_4,ribN_4,Riboflavin transporter,ribN
tsf,tsf,Elongation factor Ts,tsf
lpxL,lpxL,Lipid A biosynthesis lauroyltransferase,lpxL
sugA_4,sugA_4,Trehalose transport system permease protein SugA,sugA
ddpC_1,ddpC_1,putative DD-dipeptide transport system permease protein DdpC,ddpC
tyrC,tyrC,Cyclohexadienyl dehydrogenase,tyrC
gsiC_7,gsiC_7,Glutathione transport system permease protein GsiC,gsiC
pcpR_1,pcpR_1,PCP degradation transcriptional activation protein,pcpR
scrK,scrK,Fructokinase,scrK
yadG,yadG,putative ABC transporter ATP-binding protein YadG,yadG
ddlB,ddlB,D-alanine--D-alanine ligase B,ddlB
hemC,hemC,Porphobilinogen deaminase,hemC
era,era,GTPase Era,era
ftsQ,ftsQ,Cell division protein FtsQ,ftsQ
thpA,thpA,D-threitol-binding protein,thpA
argC,argC,N-acetyl-gamma-glutamyl-phosphate reductase,argC
prs_1,prs_1,Ribose-phosphate pyrophosphokinase,prs
ddpC_3,ddpC_3,putative DD-dipeptide transport system permease protein DdpC,ddpC
ddpC_2,ddpC_2,putative DD-dipeptide transport system permease protein DdpC,ddpC
gsiC_15,gsiC_15,Glutathione transport system permease protein GsiC,gsiC
xerD,xerD,Tyrosine recombinase XerD,xerD
btuD_14,btuD_14,Vitamin B12 import ATP-binding protein BtuD,btuD
truB,truB,tRNA pseudouridine synthase B,truB
melD_2,melD_2,Melibiose/raffinose/stachyose import permease protein MelD,melD
